cardisprice,Model,Kilometer,fueltype,carfunc,Carbrand,Carmodel
814699.0,2018,19001.0,Diesel,Manual,Maruti,S
305799.0,2017,15575.0,Petrol,Manual,Maruti,Alto
732399.0,2017,38464.0,Diesel,Manual,Maruti,Vitara
378799.0,2018,12651.0,Petrol,Manual,Tata,Tiago
411599.0,2013,70222.0,Diesel,Manual,Ford,Ecosport
783299.0,2019,23810.0,Diesel,Automatic,Honda,Amaze
521799.0,2019,6559.0,Petrol,Manual,Maruti,Celerio
672399.0,2016,96919.0,Diesel,Manual,Maruti,Vitara
1863999.0,2019,2978.0,Petrol,Automatic,MG,HECTOR
648999.0,2017,60653.0,Diesel,Manual,Hyundai,Elite
648899.0,2016,130674.0,Diesel,Manual,Maruti,Ertiga
719399.0,2019,2047.0,Petrol,Automatic,Hyundai,GRAND
501899.0,2014,93091.0,Petrol,Manual,Maruti,Ciaz
1010299.0,2016,44704.0,Petrol,Automatic,Hyundai,Creta
487099.0,2017,20910.0,Petrol,Manual,Hyundai,Grand
671699.0,2017,15738.0,Diesel,Manual,Maruti,Dzire
528299.0,2015,161918.0,Diesel,Manual,Maruti,Ciaz
539899.0,2019,7469.0,Petrol,Manual,Hyundai,Grand
757799.0,2017,93844.0,Diesel,Manual,Maruti,Ertiga
370399.0,2014,15647.0,Petrol,Automatic,Maruti,Celerio
494499.0,2020,5423.0,Petrol,Manual,Tata,Tiago
511299.0,2016,31887.0,Petrol,Manual,Volkswagen,Polo
451899.0,2014,146906.0,Petrol,Manual,Honda,City
859199.0,2018,18534.0,Petrol,Automatic,Tata,NEXON
1032599.0,2019,8459.0,Petrol,,Hyundai,VENUE
1246899.0,2019,10563.0,Petrol,,Hyundai,Creta
1030799.0,2020,32402.0,Petrol,Manual,Maruti,Ertiga
451199.0,2018,25032.0,Petrol,Manual,Tata,Tiago
384799.0,2014,118396.0,Petrol,Manual,Maruti,Swift
473599.0,2017,26102.0,Petrol,Manual,Tata,Tiago
329399.0,2015,75448.0,Petrol,Manual,Maruti,Wagon
382899.0,2016,84347.0,Diesel,Manual,Maruti,Celerio
320999.0,2016,12479.0,Petrol,Manual,Hyundai,i10
236499.0,2015,61386.0,Petrol,Manual,Maruti,Alto
357799.0,2016,42670.0,Petrol,Manual,Maruti,Wagon
651999.0,2019,15076.0,Petrol,Manual,Maruti,Baleno
1626099.0,2020,9047.0,Petrol,Automatic,MG,HECTOR
1814299.0,2018,54178.0,Diesel,Automatic,Toyota,Innova
1075099.0,2018,12729.0,Diesel,Automatic,Hyundai,Verna
640799.0,2018,14604.0,Petrol,Manual,Honda,Amaze
756599.0,2018,37639.0,Diesel,Manual,Honda,WR-V
1105399.0,2017,79362.0,Diesel,Automatic,Hyundai,Creta
373099.0,2016,9862.0,Petrol,Automatic,Maruti,Celerio
927499.0,2019,11217.0,Petrol,Manual,Ford,Ecosport
296199.0,2012,27408.0,Petrol,Manual,Honda,Brio
914899.0,2018,14643.0,Diesel,Manual,Ford,Ecosport
284599.0,2012,33740.0,Petrol,Manual,Honda,Brio
489199.0,2017,32683.0,Diesel,Manual,Hyundai,Grand
451699.0,2016,6353.0,Petrol,Manual,Hyundai,Grand
575299.0,2016,60158.0,Petrol,Automatic,Honda,Jazz
512499.0,2017,8592.0,Petrol,Manual,Hyundai,Grand
163299.0,2010,87846.0,Petrol,Manual,Hyundai,i20
378499.0,2012,78889.0,Petrol,Manual,Maruti,Swift
432499.0,2015,104937.0,Diesel,Manual,Hyundai,Elite
390899.0,2014,35256.0,Petrol,Manual,Hyundai,Xcent
795199.0,2016,51157.0,Diesel,Manual,Maruti,Ertiga
256799.0,2017,17774.0,Petrol,Manual,Datsun,Redi
378199.0,2015,21306.0,Petrol,Manual,Maruti,Celerio
331099.0,2014,73032.0,Petrol,Manual,Maruti,Wagon
374199.0,2013,22785.0,Petrol,Manual,Hyundai,i20
579699.0,2020,11827.0,Petrol,Manual,Maruti,New
857499.0,2019,31584.0,Diesel,Manual,Maruti,Ertiga
574699.0,2018,31928.0,Diesel,Manual,Ford,FREESTYLE
545799.0,2017,16256.0,Petrol,Automatic,Maruti,IGNIS
679299.0,2017,17944.0,Petrol,Manual,Honda,WR-V
441499.0,2018,12811.0,Petrol,Manual,Maruti,IGNIS
1093399.0,2017,31602.0,Petrol,Automatic,Hyundai,Creta
631099.0,2020,20524.0,Petrol,Manual,Maruti,Baleno
343799.0,2014,63456.0,Petrol,Manual,Hyundai,i10
562099.0,2017,37024.0,Petrol,Manual,Maruti,Dzire
653799.0,2019,19015.0,Petrol,Manual,Maruti,Dzire
